"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean mcg/m3","10th percentile mcg/m3","90th percentile mcg/m3"
"Summer 2015","Borough","5","1","Staten Island","8.7","8.2","9.3"
"Summer 2014","Citywide","1","0","New York City","8.5","7.5","9.9"
"Summer 2014","Borough","1","1","Bronx","8.8","8.2","9.7"
"Summer 2014","Borough","2","1","Brooklyn","8.8","7.9","10.2"
"Summer 2014","Borough","3","1","Manhattan","10.3","8.9","12.3"
"Summer 2014","Borough","4","1","Queens","8.2","7.5","9.1"
"Summer 2014","Borough","5","1","Staten Island","7.8","7.3","8.5"
"Summer 2013","Citywide","1","0","New York City","10.2","9.1","11.3"
"Summer 2013","Borough","1","1","Bronx","10.4","9.7","11.3"
"Summer 2013","Borough","2","1","Brooklyn","10.3","9.5","11.3"
"Summer 2013","Borough","3","1","Manhattan","11.8","10.4","14.0"
"Summer 2013","Borough","4","1","Queens","10.1","9.5","10.8"
"Summer 2013","Borough","5","1","Staten Island","9.3","8.9","9.9"
"Summer 2012","Citywide","1","0","New York City","10.3","9.5","11.4"
"Summer 2012","Borough","1","1","Bronx","10.5","9.8","11.4"
"Summer 2012","Borough","2","1","Brooklyn","10.4","9.7","11.5"
"Summer 2012","Borough","3","1","Manhattan","11.8","10.5","13.9"
"Summer 2012","Borough","4","1","Queens","10.1","9.4","10.8"
"Summer 2012","Borough","5","1","Staten Island","9.9","9.6","10.4"
"Summer 2011","Citywide","1","0","New York City","11.5","10.7","12.6"
"Summer 2011","Borough","1","1","Bronx","11.7","10.9","12.5"
"Summer 2011","Borough","2","1","Brooklyn","11.6","10.8","12.6"
"Summer 2011","Borough","3","1","Manhattan","12.9","11.6","14.7"
"Summer 2011","Borough","4","1","Queens","11.2","10.6","12.0"
"Summer 2011","Borough","5","1","Staten Island","11.1","10.8","11.6"
"Summer 2010","Citywide","1","0","New York City","11.8","11.0","13.0"
"Summer 2010","Borough","1","1","Bronx","12.1","11.4","13.0"
"Summer 2010","Borough","2","1","Brooklyn","12.0","11.2","13.1"
